공간정보일련번호,격자분류명,격자명,공간정보
229,50000_A,NJ52-07-02,MULTIPOLYGON (((126.25000422266008 37.99995423344067  126.50000226518988 37.99995423344067  126.50000226518988 37.74995625972329  126.25000422266008 37.74995625972329  126.25000422266008 37.99995423344067)))
230,50000_A,NJ52-07-03,MULTIPOLYGON (((126.50000226518988 37.99995423344067  126.75000030771967 37.99995423344067  126.75000030771967 37.74995625972329  126.50000226518988 37.74995625972329  126.50000226518988 37.99995423344067)))
232,50000_A,NJ52-07-20,MULTIPOLYGON (((126.75000227820391 37.499954041331016  127.0000003207337 37.499954041331016  127.0000003207337 37.24995606761364  126.75000227820391 37.24995606761364  126.75000227820391 37.499954041331016)))
12,250000_A,NI51-06,MULTIPOLYGON (((123.99999696541214 34.00006672207746  123.99999697334249 34.25006621283345  123.99999772925355 34.50005000608502  123.99999699979377 34.75006519307224  123.99999772139964 35.000050041782984  124.24999773334642 35.000050038668405  124.49999773119976 35.00005003997273  124.74999773028695 35.00005004316787  124.99999772942625 35.00005004423363  125.24999772726032 35.00005003798869  125.49999772956807 35.00005004491162  125.74999773264062 35.000050042080446  125.99999773704229 35.000050038349215  125.99999772703423 34.75005011513661  125.99999773281687 34.50005011078283  125.99999773006996 34.250050103935685  125.99999772691571 34.000050089958634  125.74999772175569 34.000050246370314  125.49999773133933 34.0000499721162  125.24999769520097 34.00005116817714  124.9999976574697 34.00005220657789  124.74999758934543 34.00005392947265  124.49999773489861 34.000049988898674  124.24999726829662 34.00006072202454  123.99999696541214 34.00006672207746)))
36,50000_A,NI51-09-04,MULTIPOLYGON (((124.74999966944391 34.00005024600979  124.9999977119737 34.00005024600979  124.9999977119737 33.75005227229241  124.74999966944391 33.75005227229241  124.74999966944391 34.00005024600979)))
78,50000_A,NI52-04-30,MULTIPOLYGON (((127.24999188280572 34.25005171611051  127.4999899253355 34.25005171611051  127.4999899253355 34.00005374239313  127.24999188280572 34.00005374239313  127.24999188280572 34.25005171611051)))
79,50000_A,NI52-04-29,MULTIPOLYGON (((126.99999383242191 34.250055804373716  127.2499918749518 34.250055804373716  127.2499918749518 34.00005783065635  126.99999383242191 34.00005783065635  126.99999383242191 34.250055804373716)))
85,50000_A,NI52-04-23,MULTIPOLYGON (((127.4999938398962 34.5000537715287  127.74999188242599 34.5000537715287  127.74999188242599 34.25005579781132  127.4999938398962 34.25005579781132  127.4999938398962 34.5000537715287)))
86,50000_A,NI52-04-22,MULTIPOLYGON (((127.24999188280572 34.50004968982789  127.4999899253355 34.50004968982789  127.4999899253355 34.25005171611051  127.24999188280572 34.25005171611051  127.24999188280572 34.50004968982789)))
87,50000_A,NI52-04-21,MULTIPOLYGON (((126.99999383242191 34.5000537780911  127.2499918749518 34.5000537780911  127.2499918749518 34.250055804373716  126.99999383242191 34.250055804373716  126.99999383242191 34.5000537780911)))
88,50000_A,NI52-04-20,MULTIPOLYGON (((126.7499938272619 34.50005393450278  126.9999918697918 34.50005393450278  126.9999918697918 34.250055960785396  126.7499938272619 34.250055960785396  126.7499938272619 34.50005393450278)))
89,50000_A,NI52-04-19,MULTIPOLYGON (((126.49999426490321 34.50007517309397  126.74999230743299 34.50007517309397  126.74999230743299 34.25007719937659  126.49999426490321 34.25007719937659  126.49999426490321 34.50007517309397)))
90,50000_A,NI52-04-18,MULTIPOLYGON (((126.2499962145195 34.50007926135718  126.4999942570493 34.50007926135718  126.4999942570493 34.2500812876398  126.2499962145195 34.2500812876398  126.2499962145195 34.50007926135718)))
100,50000_A,NI52-04-07,MULTIPOLYGON (((127.4999930760548 35.000062382390645  127.74999111858459 35.000062382390645  127.74999111858459 34.75006440867328  127.4999930760548 34.75006440867328  127.4999930760548 35.000062382390645)))
101,50000_A,NI52-04-06,MULTIPOLYGON (((127.2499911111104 35.000062388953054  127.4999891536402 35.000062388953054  127.4999891536402 34.750064415235684  127.2499911111104 34.750064415235684  127.2499911111104 35.000062388953054)))
102,50000_A,NI52-04-05,MULTIPOLYGON (((126.9999930685806 35.000062388953054  127.2499911111104 35.000062388953054  127.2499911111104 34.750064415235684  126.9999930685806 34.750064415235684  126.9999930685806 35.000062388953054)))
103,50000_A,NI52-04-02,MULTIPOLYGON (((126.2499977422023 35.000049881937535  126.49999578473209 35.000049881937535  126.49999578473209 34.750051908220165  126.2499977422023 34.750051908220165  126.2499977422023 35.000049881937535)))
104,50000_A,NI52-04-01,MULTIPOLYGON (((125.99999773704229 35.00005003834921  126.24999577957209 35.00005003834921  126.24999577957209 34.75005206463184  125.99999773704229 34.75005206463184  125.99999773704229 35.00005003834921)))
105,50000_A,NI51-06-13,MULTIPOLYGON (((125.00000043059141 34.75003543558626  125.24999847312121 34.75003543558626  125.24999847312121 34.50003746186888  125.00000043059141 34.50003746186888  125.00000043059141 34.75003543558626)))
106,50000_A,NI51-06-32,MULTIPOLYGON (((125.75000119408821 34.25001877156375  125.99999923661801 34.25001877156375  125.99999923661801 34.00002079784638  125.75000119408821 34.00002079784638  125.75000119408821 34.25001877156375)))
107,50000_A,NI51-06-31,MULTIPOLYGON (((125.50000314370449 34.25002285982696  125.7500011862343 34.25002285982696  125.7500011862343 34.00002488610958  125.50000314370449 34.00002488610958  125.50000314370449 34.25002285982696)))
108,50000_A,NI51-06-30,MULTIPOLYGON (((125.2500031385444 34.25002301623864  125.5000011810743 34.25002301623864  125.5000011810743 34.00002504252127  125.2500031385444 34.00002504252127  125.2500031385444 34.25002301623864)))
109,50000_A,NI51-06-29,MULTIPOLYGON (((125.0000004384453 34.25003539988829  125.2499984809751 34.25003539988829  125.2499984809751 34.00003742617091  125.0000004384453 34.00003742617091  125.0000004384453 34.25003539988829)))
110,50000_A,NI51-06-28,MULTIPOLYGON (((124.7500023880616 34.2500394881515  125.00000043059141 34.2500394881515  125.00000043059141 34.00004151443412  124.7500023880616 34.00004151443412  124.7500023880616 34.2500394881515)))
111,50000_A,NI51-06-24,MULTIPOLYGON (((125.75000119408821 34.50001674528113  125.99999923661801 34.50001674528113  125.99999923661801 34.25001877156375  125.75000119408821 34.25001877156375  125.75000119408821 34.50001674528113)))
112,50000_A,NI51-06-23,MULTIPOLYGON (((125.50000314370449 34.50002083354434  125.7500011862343 34.50002083354434  125.7500011862343 34.25002285982696  125.50000314370449 34.25002285982696  125.50000314370449 34.50002083354434)))
113,50000_A,NI51-06-22,MULTIPOLYGON (((125.2500031385444 34.50002098995602  125.5000011810743 34.50002098995602  125.5000011810743 34.25002301623864  125.2500031385444 34.25002301623864  125.2500031385444 34.50002098995602)))
114,50000_A,NI51-06-21,MULTIPOLYGON (((125.0000004384453 34.50003337360567  125.2499984809751 34.50003337360567  125.2499984809751 34.25003539988829  125.0000004384453 34.25003539988829  125.0000004384453 34.50003337360567)))
115,50000_A,NI51-06-20,MULTIPOLYGON (((124.7500023880616 34.50003746186888  125.00000043059141 34.50003746186888  125.00000043059141 34.2500394881515  124.7500023880616 34.2500394881515  124.7500023880616 34.50003746186888)))
116,50000_A,NI51-06-16,MULTIPOLYGON (((125.7500011862343 34.75001880726172  125.9999992287641 34.75001880726172  125.9999992287641 34.50002083354434  125.7500011862343 34.50002083354434  125.7500011862343 34.75001880726172)))
119,50000_A,NI51-06-12,MULTIPOLYGON (((124.7500023880616 34.75003543558626  125.00000043059141 34.75003543558626  125.00000043059141 34.50003746186888  124.7500023880616 34.50003746186888  124.7500023880616 34.75003543558626)))
120,50000_A,NI51-06-08,MULTIPOLYGON (((125.7500011862343 35.00001678097909  125.9999992287641 35.00001678097909  125.9999992287641 34.75001880726172  125.7500011862343 34.75001880726172  125.7500011862343 35.00001678097909)))
121,50000_A,NI51-06-07,MULTIPOLYGON (((125.5000011810743 35.00001693739078  125.74999922360409 35.00001693739078  125.74999922360409 34.7500189636734  125.5000011810743 34.7500189636734  125.5000011810743 35.00001693739078)))
122,50000_A,NI51-06-06,MULTIPOLYGON (((125.2500031385444 35.00001693739078  125.5000011810743 35.00001693739078  125.5000011810743 34.7500189636734  125.2500031385444 34.7500189636734  125.2500031385444 35.00001693739078)))
123,50000_A,NI51-06-05,MULTIPOLYGON (((125.00000043059141 35.000033409303626  125.24999847312121 35.000033409303626  125.24999847312121 34.75003543558626  125.00000043059141 34.75003543558626  125.00000043059141 35.000033409303626)))
124,50000_A,NI51-06-04,MULTIPOLYGON (((124.75000042543141 35.000033565715306  124.99999846796119 35.000033565715306  124.99999846796119 34.75003559199794  124.75000042543141 34.75003559199794  124.75000042543141 35.000033565715306)))
80,50000_A,NI52-04-28,MULTIPOLYGON (((126.7499938272619 34.250055960785396  126.9999918697918 34.250055960785396  126.9999918697918 34.00005798706803  126.7499938272619 34.00005798706803  126.7499938272619 34.250055960785396)))
81,50000_A,NI52-04-27,MULTIPOLYGON (((126.49999426490321 34.25007719937659  126.74999230743299 34.25007719937659  126.74999230743299 34.00007922565921  126.49999426490321 34.00007922565921  126.49999426490321 34.25007719937659)))
82,50000_A,NI52-04-26,MULTIPOLYGON (((126.2499962145195 34.2500812876398  126.4999942570493 34.2500812876398  126.4999942570493 34.00008331392243  126.2499962145195 34.00008331392243  126.2499962145195 34.2500812876398)))
152,50000_A,NI51-03-32,MULTIPOLYGON (((125.7500027139171 35.24998942784208  126.00000075644691 35.24998942784208  126.00000075644691 34.9999914541247  125.7500027139171 34.9999914541247  125.7500027139171 35.24998942784208)))
153,50000_A,NI51-03-31,MULTIPOLYGON (((125.5000046635334 35.24999351610528  125.7500027060632 35.24999351610528  125.7500027060632 34.99999554238791  125.5000046635334 34.99999554238791  125.5000046635334 35.24999351610528)))
154,50000_A,NI51-03-30,MULTIPOLYGON (((125.2500046583733 35.24999367251697  125.50000270090321 35.24999367251697  125.50000270090321 34.999995698799594  125.2500046583733 34.999995698799594  125.2500046583733 35.24999367251697)))
155,50000_A,NI51-03-29,MULTIPOLYGON (((125.00000465606556 35.24999366559405  125.25000269859547 35.24999366559405  125.25000269859547 34.99999569187667  125.00000465606556 34.99999569187667  125.00000465606556 35.24999366559405)))
157,50000_A,NI51-03-23,MULTIPOLYGON (((125.5000046635334 35.499991489822655  125.7500027060632 35.499991489822655  125.7500027060632 35.24999351610528  125.5000046635334 35.24999351610528  125.5000046635334 35.499991489822655)))
69,50000_A,NI52-05-09,MULTIPOLYGON (((127.99999848841921 34.750027378991945  128.2499965309491 34.750027378991945  128.2499965309491 34.50002940527456  127.99999848841921 34.50002940527456  127.99999848841921 34.750027378991945)))
84,50000_A,NI52-04-24,MULTIPOLYGON (((127.7499918902799 34.50004968326549  127.9999899328097 34.50004968326549  127.9999899328097 34.25005170954811  127.7499918902799 34.25005170954811  127.7499918902799 34.50004968326549)))
92,50000_A,NI52-04-16,MULTIPOLYGON (((127.74999188242599 34.75005174524607  127.99998992495578 34.75005174524607  127.99998992495578 34.5000537715287  127.74999188242599 34.5000537715287  127.74999188242599 34.75005174524607)))
99,50000_A,NI52-04-08,MULTIPOLYGON (((127.74999111858459 35.000062382390645  127.99998916111441 35.000062382390645  127.99998916111441 34.75006440867328  127.74999111858459 34.75006440867328  127.74999111858459 35.000062382390645)))
144,50000_A,NI52-01-17,MULTIPOLYGON (((125.99999922091021 35.50001681667706  126.24999726344 35.50001681667706  126.24999726344 35.25001884295968  125.99999922091021 35.25001884295968  125.99999922091021 35.50001681667706)))
146,50000_A,NI52-01-10,MULTIPOLYGON (((126.24999922607019 35.75001463398276  126.49999726860001 35.75001463398276  126.49999726860001 35.50001666026538  126.24999922607019 35.50001666026538  126.24999922607019 35.75001463398276)))
147,50000_A,NI52-01-09,MULTIPOLYGON (((125.99999922091021 35.75001479039444  126.24999726344 35.75001479039444  126.24999726344 35.50001681667706  125.99999922091021 35.50001681667706  125.99999922091021 35.75001479039444)))
156,50000_A,NI51-03-24,MULTIPOLYGON (((125.7500027139171 35.49998740155945  126.00000075644691 35.49998740155945  126.00000075644691 35.24998942784208  125.7500027139171 35.24998942784208  125.7500027139171 35.49998740155945)))
158,50000_A,NI51-03-16,MULTIPOLYGON (((125.7500027060632 35.74998946354004  126.00000074859301 35.74998946354004  126.00000074859301 35.499991489822655  125.7500027060632 35.499991489822655  125.7500027060632 35.74998946354004)))
8,250000_A,NI52-05,MULTIPOLYGON (((127.99999848841927 34.000033457839805  127.99999849634962 34.250032948595795  127.99999925226068 34.50001674184736  127.9999985228009 34.75003192883458  127.99999924440677 35.000016777545326  128.24999925635353 35.00001677443075  128.4999992542069 35.00001677573507  128.74999925329408 35.00001677893021  128.99999925243338 35.000016779995974  129.24999925026745 35.000016773751035  129.4999992525752 35.00001678067396  129.74999925564777 35.00001677784279  129.99999926004944 35.00001677411156  129.99999925004136 34.75001685089895  129.99999925582398 34.50001684654517  129.99999925307708 34.25001683969803  129.99999924992284 34.00001682572098  129.74999924476282 34.00001698213266  129.49999925434645 34.000016707878544  129.2499992182081 34.00001790393948  128.99999918047683 34.00001894234023  128.74999911235255 34.00002066523499  128.49999925790576 34.000016724661016  128.24999879130377 34.000027457786885  127.99999848841927 34.000033457839805)))
