공간정보일련번호,격자분류명,격자명,공간정보
53,50000_A,NI52-07-07,MULTIPOLYGON (((127.4999977368554 34.00004191516136  127.7499957793852 34.00004191516136  127.7499957793852 33.750043941443984  127.4999977368554 33.750043941443984  127.4999977368554 34.00004191516136)))
54,50000_A,NI52-07-06,MULTIPOLYGON (((127.24999564255128 34.00004571610613  127.4999936850811 34.00004571610613  127.4999936850811 33.75004774238875  127.24999564255128 33.75004774238875  127.24999564255128 34.00004571610613)))
55,50000_A,NI52-07-05,MULTIPOLYGON (((126.9999956373913 34.00004587251781  127.24999367992109 34.00004587251781  127.24999367992109 33.75004789880043  126.9999956373913 33.75004789880043  126.9999956373913 34.00004587251781)))
56,50000_A,NI52-07-04,MULTIPOLYGON (((126.74999759486151 34.00004587251781  126.9999956373913 34.00004587251781  126.9999956373913 33.75004789880043  126.74999759486151 33.75004789880043  126.74999759486151 34.00004587251781)))
57,50000_A,NI52-07-03,MULTIPOLYGON (((126.49999427275709 34.00007513739601  126.7499923152869 34.00007513739601  126.7499923152869 33.750077163678625  126.49999427275709 33.750077163678625  126.49999427275709 34.00007513739601)))
58,50000_A,NI52-07-02,MULTIPOLYGON (((126.2499942675971 34.00007529380769  126.49999231012691 34.00007529380769  126.49999231012691 33.750077320090305  126.2499942675971 33.750077320090305  126.2499942675971 34.00007529380769)))
59,50000_A,NI52-07-01,MULTIPOLYGON (((125.99999622506729 34.00007529380769  126.2499942675971 34.00007529380769  126.2499942675971 33.750077320090305  125.99999622506729 33.750077320090305  125.99999622506729 34.00007529380769)))
76,50000_A,NI52-04-32,MULTIPOLYGON (((127.7499918902799 34.25005170954811  127.9999899328097 34.25005170954811  127.9999899328097 34.00005373583073  127.7499918902799 34.00005373583073  127.7499918902799 34.25005170954811)))
83,50000_A,NI52-04-25,MULTIPOLYGON (((125.9999962093594 34.25008144405148  126.2499942518893 34.25008144405148  126.2499942518893 34.00008347033411  125.9999962093594 34.00008347033411  125.9999962093594 34.25008144405148)))
148,50000_A,NI52-01-04,MULTIPOLYGON (((126.74999683881269 35.999987280845744  126.9999948813425 35.999987280845744  126.9999948813425 35.74998930712836  126.74999683881269 35.74998930712836  126.74999683881269 35.999987280845744)))
149,50000_A,NI52-01-03,MULTIPOLYGON (((126.4999987962829 35.999987280845744  126.74999683881269 35.999987280845744  126.74999683881269 35.74998930712836  126.4999987962829 35.74998930712836  126.4999987962829 35.999987280845744)))
160,50000_A,NJ51-12-32,MULTIPOLYGON (((125.7500019602023 36.250002039659854  126.00000000273208 36.250002039659854  126.00000000273208 36.00000406594248  125.7500019602023 36.00000406594248  125.7500019602023 36.250002039659854)))
161,50000_A,NJ51-12-31,MULTIPOLYGON (((125.5000039098185 36.25000612792307  125.7500019523484 36.25000612792307  125.7500019523484 36.00000815420569  125.5000039098185 36.00000815420569  125.5000039098185 36.25000612792307)))
70,50000_A,NI52-05-05,MULTIPOLYGON (((128.9999971548824 35.0000125601045  129.2499951974122 35.0000125601045  129.2499951974122 34.75001458638713  128.9999971548824 34.75001458638713  128.9999971548824 35.0000125601045)))
171,50000_A,NJ52-10-27,MULTIPOLYGON (((126.5000027158452 36.249985411335324  126.750000758375 36.249985411335324  126.750000758375 35.99998743761794  126.5000027158452 35.99998743761794  126.5000027158452 36.249985411335324)))
172,50000_A,NJ52-10-26,MULTIPOLYGON (((126.2500046654614 36.249989499598534  126.5000027079912 36.249989499598534  126.5000027079912 35.99999152588115  126.2500046654614 35.99999152588115  126.2500046654614 36.249989499598534)))
173,50000_A,NJ52-10-25,MULTIPOLYGON (((126.0000046603014 36.249989656010214  126.25000270283121 36.249989656010214  126.25000270283121 35.99999168229283  126.0000046603014 35.99999168229283  126.0000046603014 36.249989656010214)))
75,50000_A,NI52-04-13,MULTIPOLYGON (((126.99999383242191 34.75005175180848  127.2499918749518 34.75005175180848  127.2499918749518 34.5000537780911  126.99999383242191 34.5000537780911  126.99999383242191 34.75005175180848)))
